,,,,,,,,,
,2026년 입주 예정 신축 아파트 입예협 현황,,,,,,,,
,,,,,,,,,
,단지명,지역,세대수,입주예정시기,네이버 입예협 공식카페,카페 링크,회원수 현황,오픈채팅방 현황,비고
,디에이치 방배,서울특별시 서초구 방배동,3064,2026년 9월,디에이치 방배 입주예정자협의회 공식카페,https://cafe.naver.com/dhbangbae,"약 1,200명",단지 입주민 오픈채팅방 운영 중,방배5구역 재건축
,힐스테이트 메디알레,서울특별시 은평구 대조동,2451,2026년 10월,힐스테이트 메디알레 입예협 공식카페,https://cafe.naver.com/hsmediale,"약 1,500명",동호수 인증 오픈채팅방 병행 운영,대조1구역 재개발
,인덕원 퍼스비엘,경기도 의왕시 내손동,2180,2026년 6월,인덕원 퍼스비엘 입주예정자협의회,https://cafe.naver.com/persbiel,"약 1,400명",계약자 전용 카카오톡 오픈채팅방 운영,내손라구역 재개발
,힐스테이트 회룡역 파크뷰,경기도 의정부시 호원동,1816,2026년 4월,힐스테이트 회룡역 파크뷰 입예협,https://cafe.naver.com/hoheup,약 850명,입주예정자 정보공유 오픈채팅방 운영,호원동 재개발
,힐스테이트 평택화양,경기도 평택시 화양지구 5BL,1571,2026년 3월,힐스테이트 평택화양 입주예정자 모임,https://cafe.naver.com/hspthwayang,약 700명,계약자 인증 단톡방 운영,화양지구 대단지
,인천 두산위브더센트럴,인천광역시 동구 송림동,1321,2026년 1월,인천 두산위브더센트럴 입예협 공식카페,https://cafe.naver.com/wevedercentral,약 800명,입주민 소통 오픈채팅방 개설,송림3구역 재개발
,지제역 반도체밸리 제일풍경채,경기도 평택시 가재지구 2BL,1152,2026년 3월,지제역 반도체밸리 제일풍경채 입예협,https://cafe.naver.com/jijepunggyeong,약 650명,예비입주자 오픈채팅방 운영,가재지구 도시개발
,두산위브더제니스 센트럴 원주,강원특별자치도 원주시 명륜동,1167,2026년 3월,두산위브더제니스 센트럴 원주 입예협,https://cafe.naver.com/zenithwonju,약 600명,사전점검 대비 단톡방 운영,원동남산 재개발
,부산 에코델타시티 16BL 중흥S-클래스,부산광역시 강서구 강동동,1067,2026년 11월,에코델타시티 중흥S-클래스 입주예정자 카페,https://cafe.naver.com/ecozunghung16,약 550명,입주예정자 오픈채팅방 확인,에코델타시티 공공택지
,힐스테이트 모종 블랑루체,충청남도 아산시 모종동,1060,2026년 3월,힐스테이트 모종 블랑루체 입예협,https://cafe.naver.com/mojongblancruche,약 500명,계약자 확인 단톡방 운영,모종2지구
,검단신도시 호반써밋 (AB19),인천광역시 서구 불로동,856,2026년 3월,검단 AB19 호반써밋 입예협 공식카페,https://cafe.naver.com/ab19hoban,약 600명,호수공원역 인접 단톡방 운영,검단신도시 3단계
,청량리 롯데캐슬 하이루체,서울특별시 동대문구 청량리동,761,2026년 4월,청량리 롯데캐슬 하이루체 입예협,https://cafe.naver.com/highluce7,약 500명,사전점검 준비 오픈채팅방 개설,청량리7구역 재개발
,영등포자이 디그니티,서울특별시 영등포구 양평동1가,707,2026년 3월,영등포자이 디그니티 입주예정자협의회,https://cafe.naver.com/ydpzaidignity,약 480명,조합원/일반분양 오픈채팅방 분리 운영,양평12구역 재개발
